Pokemon;CP;Attack;Defense;Stamina;Level;Shadow
Palkia (Origin);2279;10;11;10;20.0;no
Pumpkaboo (Small);797;10;15;5;25.0;no
Nickit;175;2;2;6;11.0;no
Wailmer;253;4;11;1;7.0;no
Lickilicky;887;4;5;7;14.0;no
Lickitung;787;14;13;11;20.0;no
Lickitung;959;0;4;2;29.0;no
Lickilicky;2308;14;15;14;36.0;no
Sandslash (Alola);1357;11;15;14;20.0;no
Sandslash (Alola);1386;15;14;15;20.0;no
Sandshrew (Alola);259;5;15;3;8.0;yes
Sandshrew (Alola);439;15;15;12;12.0;no
Sandshrew (Alola);485;11;0;1;15.0;no
Sandshrew;534;6;9;1;17.0;no
Sandshrew (Alola);562;15;4;12;16.0;no
Sandshrew (Alola);708;13;10;12;20.0;no
Sandshrew (Alola);708;11;13;13;20.0;no
Sandshrew (Alola);723;13;14;14;20.0;no
Sandshrew (Alola);726;14;12;15;20.0;no
Sandslash (Alola);1383;15;13;15;20.0;no
Sandshrew (Alola);728;13;15;15;20.0;no
Deino;220;14;0;15;8.0;no
Deino;592;13;14;14;20.0;no
Deino;595;15;11;15;20.0;no
Deino;720;5;7;1;28.0;no
Sobble;246;6;12;1;9.0;no
Wooper (Paldea);264;13;13;13;15.0;no
Stunfisk (Galar);27;1;13;13;1.0;no
Nickit;452;14;14;9;23.0;no
Corsola (Galar);812;10;11;14;20.0;no
Corsola (Galar);842;;;;20.0;no
Enamorus (Incarnate);1925;14;15;10;20.0;no
Gyarados (Mega);2683;15;15;13;20.0;no
Regirock;2186;15;10;10;25.0;no
Stunfisk (Galar);1380;11;15;13;23.0;no
Stunfisk (Galar);680;4;15;8;12.0;no
Stunfisk (Galar);1207;14;11;12;20.0;no
Stunfisk (Galar);27;6;2;11;1.0;no
Stunfisk (Galar);1188;11;13;11;20.0;no
Stunfisk (Galar);1378;12;13;12;23.0;no
Tatsugiri;1554;14;14;14;20.0;no
Morpeko;1078;11;15;12;20.0;no
Swampert (Mega);3783;14;14;15;30.5;no
Samurott (Hisui);1563;13;10;15;20.0;no
Lunala;2279;13;14;13;20.0;no
Shelmet;152;0;11;12;8.0;yes
Deerling;953;5;13;11;35.0;no
Octillery;1429;5;13;12;23.0;no
Raichu (Alola);1306;15;15;15;20.0;no
Indeedee (Male);1396;15;15;15;20.0;no
Mewtwo (Mega Y);3673;15;15;15;20.0;no
Garchomp (Mega);3078;14;15;13;20.0;no
Jolteon;1627;14;11;15;20.0;no
Aggron (Mega);2331;13;14;11;20.0;no
Zacian (Hero);2149;12;14;13;20.0;no
Tapu Lele;2433;;;;25.0;no
Tornadus (Therian);1803;;;;20.0;no
Landorus (Therian);2194;;;;20.0;no
Palkia (Origin);2885;10;11;15;25.0;no
Zygarde (10%);987;;;;15.0;no
Giratina (Altered);1909;15;12;12;20.0;no
Zamazenta (Hero);2100;;;;20.0;no
Enamorus (Therian);2325;;;;25.0;no
Dialga (Origin);2282;12;11;13;20.0;no
Xurkitree;2199;;;;20.0;no
Salamence (Mega);2830;10;15;15;20.0;no
Palkia (Origin);2343;14;13;14;20.0;no
Ursaring;2470;;;;31.0;no
Rhydon;2845;;;;35.0;no
Tyranitar;3410;;;;34.0;no
Mewtwo (Mega Y);3617;12;15;11;20.0;no
Machamp;3012;15;15;15;39.0;no
Mewtwo (Mega Y);3616;11;13;14;20.0;no
