Nr,Name,Form,Gender,Fast move,Charge move,Charge move 2,Level,CP,HP,Dust cost,Overall appraisal,Att IV,Def IV,HP IV,Unique IV combos,Catch date,Lucky,Shadow,Purified,Scan date
17,Axew,,♀,,,,8.0,279,52,961,,4,11,11,1,,no,yes,no,2026-09-01 09:53
18,Axew,,♂,,,,8.0,289,52,961,,13,7,10,1,,no,yes,no,2026-09-01 09:53
19,Axew,,♂,,,,8.0,295,53,961,,9,15,13,1,,no,yes,no,2026-09-01 09:53
20,Giratina,Altered,,,,,20.0,1813,173,3000,,6,14,6,1,,no,yes,no,2026-09-01 09:52
21,Giratina,Altered,,,,,20.0,1815,175,3000,,6,12,9,1,,no,yes,no,2026-09-01 09:52
22,Giratina,Altered,,,,,20.0,1820,176,3000,,6,11,12,1,,no,yes,no,2026-09-01 09:52
23,Giratina,Altered,,,,,20.0,1859,177,3000,,9,13,13,1,,no,yes,no,2026-09-01 09:52
24,Giratina,Altered,,Dragon Breath,Frustration,,20.0,1896,178,3000,,13,12,14,1,,no,yes,no,2026-09-01 09:52
25,Palkia,Normal,,Dragon Tail,Frustration,,20.0,2233,120,3000,,13,12,12,1,,no,yes,no,2026-09-01 09:52
26,Snover,,♀,,,,8.0,234,58,961,,7,14,2,1,,no,yes,no,2026-09-01 09:52
27,Stunky,,♀,,,,13.0,414,79,1921,,15,14,6,1,,no,yes,no,2026-09-01 09:52
28,Shinx,,♂,,,,8.0,156,50,961,,1,2,7,1,,no,yes,no,2026-09-01 09:52
29,Shuppet,,♀,,,,8.0,193,51,961,,3,5,9,1,,no,yes,no,2026-09-01 09:52
30,Wobbuffet,,♂,,,,8.0,186,146,961,,4,4,9,1,,no,yes,no,2026-09-01 09:52
31,Hitmonchan,,♂,,,,20.0,1273,87,3000,,11,11,10,1,,no,yes,no,2026-09-01 09:51
32,Seel,,♀,,,,8.0,193,65,961,,4,15,12,1,,no,yes,no,2026-09-01 09:51
33,Geodude,Alola,♀,,,,8.0,258,45,961,,11,4,1,1,,no,yes,no,2026-09-01 09:51
34,Venonat,,♂,,,,8.0,195,63,961,,5,3,15,1,,no,yes,no,2026-09-01 09:51
35,Oddish,,♀,,,,13.0,406,64,1921,,9,5,6,1,,no,yes,no,2026-09-01 09:51
36,Vulpix,Alola,♀,,,,8.0,164,44,961,,4,7,2,1,,no,yes,no,2026-09-01 09:51
37,Sandslash,Alola,♀,,,,8.0,503,69,961,,5,15,3,1,,no,yes,no,2026-09-01 09:51
38,Sandshrew,Alola,♀,,,,8.0,251,51,961,,9,1,0,1,,no,yes,no,2026-09-01 09:51
39,Sandshrew,Alola,♂,,,,8.0,271,51,961,,12,15,1,1,,no,yes,no,2026-09-01 09:51
40,Rattata,Alola,♀,,,,8.0,138,43,961,,6,0,14,1,,no,yes,no,2026-09-01 09:51
41,Flamigo,,♂,Double Kick,Brave Bird,Upper Hand,11.0,801,91,1300,,0,12,13,1,,no,no,no,2026-08-31 22:04
42,Sableye,Mega,♂,Shadow Claw,Foul Play,,15.0,804,78,15000,,10,15,14,1,,no,no,no,2026-08-31 21:13
43,Rookidee,,♂,,,,15.0,235,63,1900,,3,9,7,1,,no,no,no,2026-08-30 22:57
44,Articuno,Galar,,Psycho Cut,Fly,,6.0,557,70,600,,1,14,13,1,,no,no,no,2026-08-30 07:02
45,Dewpider,,♂,,,,15.0,298,66,1900,,14,14,12,1,,no,no,no,2026-08-30 03:53
46,Meltan,,,,,,22.0,605,88,3000,,7,9,11,1,,no,no,no,2026-08-30 03:23
47,Meltan,,,,,,25.0,670,92,4000,,2,14,9,1,,no,no,no,2026-08-30 03:23
48,Meltan,,,,,,6.0,147,42,600,,0,11,3,1,,no,no,no,2026-08-30 03:10
49,Meltan,,,,,,11.0,294,62,1300,,2,11,12,1,,no,no,no,2026-08-30 03:10
50,Meltan,,,,,,25.0,676,90,4000,,12,1,6,1,,no,no,no,2026-08-30 03:10
51,Meltan,,,,,,26.0,747,98,4000,,9,12,15,1,,no,no,no,2026-08-30 02:41
52,Sableye,Normal,♀,,,,20.0,832,89,2500,,15,14,12,1,,no,no,no,2026-08-29 22:58
53,Sableye,Mega,♂,,,,15.0,804,78,1900,,10,15,14,1,,no,no,no,2026-08-29 22:58
54,Snorlax,,♂,Zen Headbutt,Outrage,,27.0,2332,230,4500,,12,4,2,1,,no,no,no,2026-08-29 15:13
55,Corsola,Galar,♀,Astonish,Rock Blast,,15.0,559,86,1900,,3,3,12,1,,no,no,no,2026-08-29 14:44
56,Mewtwo,Armored,,Confusion,Rock Slide,,20.0,1786,134,2500,,14,12,11,1,,no,no,no,2026-08-26 08:07
57,Mewtwo,Armored,,Confusion,Earthquake,,20.0,1809,135,2500,,15,15,12,1,,no,no,no,2026-08-26 08:07
58,Mewtwo,Armored,,Confusion,Dynamic Punch,,20.0,1779,133,2500,,13,14,10,1,,no,no,no,2026-08-26 08:07
59,Altaria,Mega,♂,Dragon Breath,Dazzling Gleam,,26.0,2316,130,15000,,14,15,11,1,,no,no,no,2026-08-26 08:04
60,Lilligant,Hisui,♀,Magical Leaf,Close Combat,,20.0,1378,109,2500,,,,,1,,no,no,no,2026-08-24 01:39
61,Articuno,Normal,,Frost Breath,Ice Beam,,28.5,2404,156,4500,,10,13,13,1,,no,no,no,2026-08-22 22:42
62,Minun,,♂,,,,25.0,1064,104,4000,,7,4,1,1,,no,no,no,2026-08-22 22:41
63,Lugia,,,Extrasensory,Sky Attack,,31.5,3222,182,6000,,15,14,11,1,,no,no,no,2026-08-22 22:41
64,Eevee,,♂,,,,18.0,509,91,2200,,6,15,15,1,,no,no,no,2026-08-22 22:41
65,Chikorita,,♂,Vine Whip,Body Slam,,16.0,381,72,1900,,,,,1,,no,no,no,2026-08-22 22:40
66,Chikorita,,,Tackle,,,20.5,478,83,2500,,,,,1,,no,no,no,2026-08-22 22:40
67,Chikorita,,♂,Vine Whip,Energy Ball,,23.0,531,87,3500,,,,,1,,no,no,no,2026-08-22 22:40
68,Chikorita,,♂,Tackle,,,33.5,757,103,7000,,,,,1,,no,no,no,2026-08-22 22:40
69,Chikorita,,♂,Tackle,,,20.0,487,83,2500,,,,,1,,no,no,no,2026-08-22 22:40
70,Meganium,,♂,Razor Leaf,Frenzy Plant,,34.5,2098,154,7000,,,,,1,,no,no,no,2026-08-22 22:40
71,Chikorita,,♂,Tackle,,,31.5,727,99,6000,,,,,1,,no,no,no,2026-08-22 22:40
72,Chikorita,,♀,Tackle,,,14.5,363,70,1600,,,,,1,,no,no,no,2026-08-22 22:40
73,Chikorita,,,Tackle,,,28.0,684,101,4500,,,,,1,,no,no,no,2026-08-22 22:40
74,Typhlosion,Normal,♂,Ember,Blast Burn,,21.0,1680,120,3000,,10,15,11,1,,no,no,no,2026-08-22 22:40
75,Totodile,,♂,,,,14.0,403,71,1600,,8,8,6,1,,no,no,no,2026-08-22 22:40
76,Golett,,,,,,19.0,595,94,2500,,,,,1,,no,no,no,2026-08-22 22:39
77,Gimmighoul,Roaming,,,,,15.0,452,71,1900,,15,10,10,1,,no,no,no,2026-08-22 22:39
78,Palkia,Origin,,Dragon Tail,Fire Blast,,20.0,2279,118,2500,,10,11,10,1,,no,no,no,2026-08-22 22:39
79,Pumpkaboo,Small,♀,,,,25.0,797,88,4000,,10,15,5,1,,no,no,no,2026-08-22 22:38
80,Nickit,,♂,,,,11.0,175,55,1300,,2,2,6,1,,no,no,no,2026-08-22 22:38
81,Wailmer,,♂,,,,7.0,253,97,800,,4,11,1,1,,no,no,no,2026-08-22 22:38
82,Lickilicky,,♀,Lick,Body Slam,,14.0,887,124,1600,,4,5,7,1,,no,no,no,2026-08-19 19:17
83,Lickitung,,♀,,,,20.0,787,130,2500,,14,13,11,1,,no,no,no,2026-08-19 19:14
84,Lickitung,,♂,,,,29.0,959,150,5000,,0,4,2,1,,no,no,no,2026-08-19 19:14
85,Lickilicky,,♂,Lick,Body Slam,,36.0,2308,196,5000,,14,15,14,1,,no,no,no,2026-08-19 19:14
86,Sandslash,Alola,♂,,,,20.0,1357,116,2500,,11,15,14,1,,no,no,no,2026-08-19 19:04
87,Sandslash,Alola,♀,,,,20.0,1386,117,2500,,15,14,15,1,,no,no,no,2026-08-19 19:04
88,Sandshrew,Alola,♀,,,,8.0,259,52,961,,5,15,3,1,,no,yes,no,2026-08-19 19:04
89,Sandshrew,Alola,♀,Metal Claw,Night Slash,,12.0,439,68,1300,,15,15,12,1,,no,no,no,2026-08-19 19:04
90,Sandshrew,Alola,♀,,,,15.0,485,71,1900,,11,0,1,1,,no,no,no,2026-08-19 19:04
91,Sandshrew,Normal,♂,,,,17.0,534,76,2200,,6,9,1,1,,no,no,no,2026-08-19 19:04
92,Sandshrew,Alola,♀,,,,16.0,562,79,1900,,15,4,12,1,,no,no,no,2026-08-19 19:04
93,Sandshrew,Alola,♂,,,,20.0,708,89,2500,,13,10,12,1,,no,no,no,2026-08-19 19:04
94,Sandshrew,Alola,♀,,,,20.0,708,89,2500,,11,13,13,1,,no,no,no,2026-08-19 19:04
95,Sandshrew,Alola,♀,,,,20.0,723,90,2500,,13,14,14,1,,no,no,no,2026-08-19 19:04
96,Sandshrew,Alola,♀,,,,20.0,726,90,2500,,14,12,15,1,,no,no,no,2026-08-19 19:04
97,Sandslash,Alola,♂,,,,20.0,1383,117,2500,,15,13,15,1,,no,no,no,2026-08-19 19:04
98,Sandshrew,Alola,♀,,,,20.0,728,90,2500,,13,15,15,1,,no,no,no,2026-08-19 19:04
99,Deino,,♀,,,,8.0,220,58,800,,14,0,15,1,,no,no,no,2026-08-19 18:54
100,Deino,,♂,,,,20.0,592,92,2500,,13,14,14,1,,no,no,no,2026-08-19 18:54
101,Deino,,♂,,,,20.0,595,93,2500,,15,11,15,1,,no,no,no,2026-08-19 18:54
102,Deino,,♀,,,,28.0,720,100,4500,,5,7,1,1,,no,no,no,2026-08-19 18:54
103,Sobble,,♂,,,,9.0,246,55,1000,,6,12,1,1,,no,no,no,2026-08-19 18:11
104,Wooper,Paldea,♀,,,,15.0,264,82,1900,,13,13,13,1,,no,no,no,2026-08-19 18:11
105,Stunfisk,Galar,♀,Metal Claw,Earthquake,,1.0,27,23,200,,1,13,13,1,,no,no,no,2026-08-19 16:29
106,Nickit,,♀,,,,23.0,452,82,3500,,14,14,9,1,,no,no,no,2026-08-19 03:30
107,Corsola,Galar,♀,Astonish,Rock Blast,,20.0,812,100,2500,,10,11,14,1,,no,no,no,2026-08-19 03:22
108,Corsola,Galar,♂,Tackle,Power Gem,,20.0,842,100,2500,,,,,1,,no,no,no,2026-08-19 03:22
109,Enamorus,Incarnate,♀,Fairy Wind,Fly,,20.0,1925,112,2500,,14,15,10,1,,no,no,no,2026-08-18 17:56
110,Gyarados,Mega,♂,Waterfall,Hydro Pump,,20.0,2683,136,15000,,15,15,13,1,,no,no,no,2026-08-18 17:40
111,Regirock,,,Rock Throw,Focus Blast,,25.0,2186,133,4000,,15,10,10,1,,no,no,no,2026-08-14 20:20
112,Stunfisk,Galar,♂,,,,23.0,1380,162,3500,,11,15,13,1,,no,no,no,2026-08-14 01:36
113,Stunfisk,Galar,♀,,,,12.0,680,114,1300,,4,15,8,1,,no,no,no,2026-08-14 01:36
114,Stunfisk,Galar,♀,,,,20.0,1207,150,2500,,14,11,12,1,,no,no,no,2026-08-14 01:36
115,Stunfisk,Galar,♂,,,,1.0,27,23,200,,6,2,11,1,,no,no,no,2026-08-14 01:36
116,Stunfisk,Galar,♂,,,,20.0,1188,149,2500,,11,13,11,1,,no,no,no,2026-08-14 01:36
117,Stunfisk,Galar,♀,,,,23.0,1378,161,3500,,12,13,12,1,,no,no,no,2026-08-14 01:36
118,Tatsugiri,,♂,Water Gun,Surf,,20.0,1554,109,2500,,14,14,14,1,,no,no,no,2026-08-12 21:16
119,Morpeko,,♂,Bite,Aura Wheel,,20.0,1078,97,2500,,11,15,12,1,,no,no,no,2026-08-10 02:08
120,Swampert,Mega,♀,Water Gun,Surf,,30.5,3783,176,15000,,14,14,15,1,,no,no,no,2026-08-08 22:44
121,Samurott,Hisui,♂,Fury Cutter,Sacred Sword,,20.0,1563,132,2500,,13,10,15,1,,no,no,no,2026-08-08 22:43
122,Lunala,,,Shadow Claw,Shadow Ball,,20.0,2279,165,2500,,13,14,13,1,,no,no,no,2026-08-08 01:07
123,Shelmet,,♂,,,,8.0,152,55,961,,0,11,12,1,,no,yes,no,2026-08-06 02:53
124,Deerling,,♀,,,,35.0,953,126,15000,,5,13,11,1,,no,no,no,2026-08-06 02:52
125,Octillery,,♂,,,,23.0,1429,123,3500,,5,13,12,1,,no,no,no,2026-08-06 02:52
126,Raichu,Alola,♂,Volt Switch,Thunder Punch,,20.0,1306,101,2500,,15,15,15,1,,no,no,no,2026-08-06 01:51
127,Indeedee,Male,♂,Extrasensory,Shadow Ball,,20.0,1396,101,2500,,15,15,15,1,,no,no,no,2026-08-06 01:51
128,Mewtwo,Mega Y,,Confusion,Psychic,,20.0,3673,145,2500,,15,15,15,1,,no,no,no,2026-08-02 00:33
129,Garchomp,Mega,♂,Dragon Tail,Breaking Swipe,,20.0,3078,150,15000,,14,15,13,1,,no,no,no,2026-08-01 22:59
130,Jolteon,,♂,Volt Switch,Thunder,,20.0,1627,106,2500,,14,11,15,1,,no,no,no,2026-07-22 15:16
131,Aggron,Mega,♀,Smack Down,Heavy Slam,,20.0,2331,109,15000,,13,14,11,1,,no,no,no,2026-07-22 11:57
132,Zacian,Hero,,Fire Fang,Play Rough,,20.0,2149,122,2500,,12,14,13,1,,no,no,no,2026-07-15 18:58
133,Tapu Lele,,,Confusion,Future Sight,,25.0,2433,124,4000,,,,,1,,no,no,no,2026-07-15 17:37
134,Tornadus,Therian,♂,Gust,Heat Wave,,20.0,1803,120,2500,,,,,1,,no,no,no,2026-07-15 15:31
135,Landorus,Therian,♂,Mud Shot,Earthquake,,20.0,2194,130,2500,,,,,1,,no,no,no,2026-07-15 15:31
136,Palkia,Origin,,Dragon Breath,Draco Meteor,,25.0,2885,136,4000,,10,11,15,1,,no,no,no,2026-07-15 10:35
137,Zygarde,10%,,Dragon Tail,Outrage,,15.0,987,80,1900,,,,,1,,no,no,no,2026-07-15 09:43
138,Giratina,Altered,,Shadow Claw,Dragon Claw,,20.0,1909,176,2500,,15,12,12,1,,no,no,no,2026-07-15 09:43
139,Zamazenta,Hero,,,,,20.0,2100,120,2500,,,,,1,,no,no,no,2026-07-15 09:43
140,Enamorus,Therian,♀,Astonish,Moonblast,,25.0,2325,126,4000,,,,,1,,no,no,no,2026-07-15 09:43
141,Dialga,Origin,,Metal Claw,Roar of Time,,20.0,2282,130,2500,,12,11,13,1,,no,no,no,2026-07-15 09:43
142,Xurkitree,,,Spark,Dazzling Gleam,,20.0,2199,124,2500,,,,,1,,no,no,no,2026-07-15 03:15
143,Salamence,Mega,♂,Bite,Hydro Pump,,20.0,2830,137,15000,,10,15,15,1,,no,no,no,2026-07-14 21:15
144,Palkia,Origin,,Dragon Breath,Draco Meteor,,20.0,2343,121,2500,,14,13,14,1,,no,no,no,2026-07-14 21:12
145,Ursaring,,♀,Metal Claw,Hyper Beam,,31.0,2470,163,6000,,,,,1,,no,no,no,2026-07-07 01:28
146,Rhydon,,♂,Mud-Slap,,,35.0,2845,186,8000,,,,,1,,no,no,no,2026-07-07 01:27
147,Tyranitar,Normal,♂,Bite,Brutal Swing,,34.0,3410,179,7000,,,,,1,,no,no,no,2026-07-07 01:26
148,Mewtwo,Mega Y,,Confusion,Psystrike,,20.0,3617,142,15000,,12,15,11,1,,no,no,no,2026-07-07 00:53
149,Machamp,,♂,Counter,Dynamic Punch,,39.0,3012,174,5000,,15,15,15,1,,yes,no,no,2026-07-05 19:04
150,Mewtwo,Mega Y,,Confusion,Psystrike,,20.0,3616,144,15000,,11,13,14,1,,no,no,no,2026-07-05 18:58
