Index,Name,Form,Pokemon,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Product (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
11,Froakie,,656,♂,178,46,0,3,3,13.3,8.0,8.0,,,,2026-09-01 09:53,,,,0,1,0,961,74.31%,1053,96.42%,63133,209,Greninja,Normal,1,62.98%,1517,96.63%,481938,503,Greninja,Normal,1,69.21%,1262,93.79%,59532,80,Froakie,,1,
12,Thundurus,Normal,642,♂,1858,117,12,15,8,77.8,20.0,20.0,Astonish,,,2026-09-01 09:53,,,,0,1,0,3000,,,,,,,,,80.46%,801,96.78%,30800,30,Thundurus,Normal,2,,,,,,,,,
13,Deino,,633,♀,210,52,8,10,0,40.0,8.0,8.0,,,,2026-09-01 09:53,,,,0,1,0,961,60.95%,1600,95.38%,22930,164,Hydreigon,,1,66.15%,1387,96.31%,6600,118,Hydreigon,,2,84.91%,619,95.26%,5522,35,Zweilous,,1,
14,Shelmet,,616,♂,152,55,0,11,12,51.1,8.0,8.0,,,,2026-09-01 09:53,,,,0,1,0,961,99.56%,19,99.12%,70934,292,Accelgor,,1,98.07%,80,98.81%,325200,393,Accelgor,,2,93.09%,284,96.45%,88334,108,Shelmet,,1,
15,Axew,,610,♂,263,48,1,11,0,26.7,8.0,8.0,,,,2026-09-01 09:53,,,,0,1,0,961,88.91%,455,96.92%,97934,142,Fraxure,,1,59.63%,1654,96.23%,10200,121,Haxorus,,2,95.97%,166,96.89%,20650,36,Axew,,1,
16,Axew,,610,♀,269,49,7,7,1,33.3,8.0,8.0,,,,2026-09-01 09:53,,,,0,1,0,961,61.83%,1564,95.33%,6600,28,Fraxure,,2,59.54%,1658,96.23%,97934,242,Haxorus,,1,45.81%,2220,92.41%,18729,33,Axew,,1,
17,Axew,,610,♀,279,52,4,11,11,57.8,8.0,8.0,,,,2026-09-01 09:53,,,,0,1,0,961,75.41%,1008,96.01%,83534,129,Fraxure,,1,70.62%,1204,96.66%,88334,233,Haxorus,,1,98.53%,61,97.50%,961,27,Fraxure,,1,
18,Axew,,610,♂,289,52,13,7,10,66.7,8.0,8.0,,,,2026-09-01 09:53,,,,0,1,0,961,93.53%,266,96.10%,402600,213,Axew,,2,11.11%,3641,94.12%,83534,229,Haxorus,,1,38.51%,2519,91.95%,14887,27,Axew,,1,
19,Axew,,610,♂,295,53,9,15,13,82.2,8.0,8.0,,,,2026-09-01 09:53,,,,0,1,0,961,99.93%,4,99.42%,375600,213,Axew,,2,99.90%,5,99.55%,402600,235,Fraxure,,2,72.28%,1136,93.46%,0,25,Fraxure,,1,
20,Giratina,Altered,487,,1813,173,6,14,6,57.8,20.0,20.0,,,,2026-09-01 09:52,,,,0,1,0,3000,,,,,,,,,89.30%,439,97.52%,61804,61,Giratina,Altered,1,,,,,,,,,
21,Giratina,Altered,487,,1815,175,6,12,9,60.0,20.0,20.0,,,,2026-09-01 09:52,,,,0,1,0,3000,,,,,,,,,90.87%,375,97.66%,61804,61,Giratina,Altered,1,,,,,,,,,
22,Giratina,Altered,487,,1820,176,6,11,12,64.4,20.0,20.0,,,,2026-09-01 09:52,,,,0,1,0,3000,,,,,,,,,48.55%,2108,95.48%,56404,56,Giratina,Altered,1,,,,,,,,,
23,Giratina,Altered,487,,1859,177,9,13,13,77.8,20.0,20.0,,,,2026-09-01 09:52,,,,0,1,0,3000,,,,,,,,,49.11%,2085,95.50%,51604,51,Giratina,Altered,1,,,,,,,,,
24,Giratina,Altered,487,,1896,178,13,12,14,86.7,20.0,20.0,Dragon Breath,Frustration,,2026-09-01 09:52,,,,0,1,0,3000,,,,,,,,,21.78%,3204,94.28%,46804,46,Giratina,Altered,1,,,,,,,,,
25,Palkia,Normal,484,,2233,120,13,12,12,82.2,20.0,20.0,Dragon Tail,Frustration,,2026-09-01 09:52,,,,0,1,0,3000,,,,,,,,,20.44%,3259,94.31%,13202,14,Palkia,Normal,1,,,,,,,,,
26,Snover,,459,♀,234,58,7,14,2,51.1,8.0,8.0,,,,2026-09-01 09:52,,,,0,1,0,961,31.55%,2804,94.20%,70934,142,Abomasnow,Normal,1,88.13%,487,97.12%,375600,258,Abomasnow,Normal,2,83.08%,694,95.50%,0,50,Abomasnow,Normal,1,
27,Stunky,,434,♀,414,79,15,14,6,77.8,13.0,13.0,,,,2026-09-01 09:52,,,,0,1,0,1921,26.08%,3028,93.78%,50167,110,Skuntank,,1,77.83%,909,95.90%,484572,404,Skuntank,,1,35.58%,2639,91.95%,9964,15,Stunky,,1,
28,Shinx,,403,♂,156,50,1,2,7,22.2,8.0,8.0,,,,2026-09-01 09:52,,,,0,1,0,961,25.79%,3040,93.57%,46330,191,Luxray,,1,67.55%,1330,96.57%,270738,437,Luxray,,1,68.77%,1280,93.62%,83534,104,Shinx,,1,
29,Shuppet,,353,♀,193,51,3,5,9,37.8,8.0,8.0,,,,2026-09-01 09:52,,,,0,1,0,961,49.50%,2069,94.31%,83534,154,Banette,Normal,1,55.60%,1819,92.00%,402600,258,Banette,Normal,2,92.80%,296,96.90%,961,52,Banette,Normal,1,
30,Wobbuffet,,202,♂,186,146,4,4,9,37.8,8.0,8.0,,,,2026-09-01 09:52,,,,0,1,0,961,40.02%,2457,80.72%,402600,213,Wobbuffet,,2,40.02%,2457,80.72%,402600,213,Wobbuffet,,2,72.38%,1132,93.54%,52330,72,Wobbuffet,,1,
31,Hitmonchan,,107,♂,1273,87,11,11,10,71.1,20.0,20.0,,,,2026-09-01 09:51,,,,0,1,0,3000,76.56%,961,96.31%,24604,26,Hitmonchan,,1,91.67%,342,97.36%,339800,215,Hitmonchan,,2,,,,,,,,,
32,Seel,,86,♀,193,65,4,15,12,68.9,8.0,8.0,,,,2026-09-01 09:51,,,,0,1,0,961,94.43%,229,97.83%,118934,187,Dewgong,,1,89.74%,421,93.65%,402600,258,Dewgong,,2,97.95%,85,97.88%,3122,56,Dewgong,,1,
33,Geodude,Alola,74,♀,258,45,11,4,1,35.6,8.0,8.0,,,,2026-09-01 09:51,,,,0,1,0,961,15.82%,3448,92.94%,148334,187,Graveler,Alola,1,11.84%,3611,94.32%,73200,185,Golem,Alola,2,35.56%,2640,90.76%,4322,33,Graveler,Alola,1,
34,Venonat,,48,♂,195,63,5,3,15,51.1,8.0,8.0,,,,2026-09-01 09:51,,,,0,1,0,961,83.37%,682,96.20%,108134,177,Venomoth,,1,69.11%,1266,89.81%,402600,258,Venomoth,,2,69.40%,1254,94.04%,46330,66,Venonat,,1,
35,Oddish,,43,♀,406,64,9,5,6,44.4,13.0,13.0,,,,2026-09-01 09:51,,,,0,1,0,1921,54.90%,1848,95.38%,70568,205,Bellossom,,1,29.89%,2872,94.93%,423372,479,Vileplume,,1,60.37%,1624,93.20%,12244,18,Oddish,,1,
36,Vulpix,Alola,37,♀,164,44,4,7,2,28.9,8.0,8.0,,,,2026-09-01 09:51,,,,0,1,0,961,73.60%,1082,96.07%,88334,158,Ninetales,Alola,1,35.80%,2630,91.17%,402600,258,Ninetales,Alola,2,81.71%,750,94.96%,961,52,Ninetales,Alola,1,
37,Sandslash,Alola,28,♀,503,69,5,15,3,51.1,8.0,8.0,,,,2026-09-01 09:51,,,,0,1,0,961,93.82%,254,97.58%,70934,92,Sandslash,Alola,1,82.22%,729,96.98%,580338,378,Sandslash,Alola,1,,,,,,,,,
38,Sandshrew,Alola,27,♀,251,51,9,1,0,22.2,8.0,8.0,,,,2026-09-01 09:51,,,,0,1,0,961,36.00%,2622,94.26%,75134,146,Sandslash,Alola,1,17.78%,3368,93.83%,375600,258,Sandslash,Alola,2,48.79%,2098,91.27%,0,50,Sandslash,Alola,1,
39,Sandshrew,Alola,27,♂,271,51,12,15,1,62.2,8.0,8.0,,,,2026-09-01 09:51,,,,0,1,0,961,26.25%,3021,93.76%,63133,134,Sandslash,Alola,1,42.61%,2351,95.06%,278400,258,Sandslash,Alola,2,65.27%,1423,94.12%,18729,33,Sandshrew,Alola,1,
40,Rattata,Alola,19,♀,138,43,6,0,14,44.4,8.0,8.0,,,,2026-09-01 09:51,,,,0,1,0,961,50.92%,2011,94.99%,281538,352,Raticate,Alola,1,55.90%,1807,88.00%,402600,235,Raticate,Alola,2,53.24%,1916,92.23%,118934,137,Rattata,Alola,1,
41,Flamigo,,973,♂,801,91,0,12,13,55.6,11.0,11.0,Double Kick,Brave Bird,Upper Hand,2026-08-31 22:04,,,,0,0,0,1300,99.34%,28,98.92%,35500,38,Flamigo,,0,99.68%,14,99.46%,229000,242,Flamigo,,0,,,,,,,,,
42,Sableye,Mega,302,♂,804,78,10,15,14,86.7,15.0,15.0,Shadow Claw,Foul Play,,2026-08-31 21:13,,,,0,0,0,15000,90.26%,400,96.23%,334400,268,Sableye,Normal,0,98.12%,78,96.03%,496400,268,Sableye,Normal,0,,,,,,,,,
43,Rookidee,,821,♂,235,63,3,9,7,42.2,15.0,15.0,,,,2026-08-30 22:57,,,,0,0,0,1900,84.03%,655,96.57%,41900,164,Corviknight,,0,89.33%,438,97.53%,481400,393,Corviknight,,0,79.41%,844,93.86%,137400,126,Rookidee,,0,
44,Articuno,Galar,144,,557,70,1,14,13,62.2,6.0,6.0,Psycho Cut,Fly,,2026-08-30 07:02,,,,0,0,0,600,99.63%,16,99.06%,21900,28,Articuno,Galar,0,87.81%,500,97.35%,76400,77,Articuno,Galar,0,,,,,,,,,
45,Dewpider,,751,♂,298,66,14,14,12,88.9,15.0,15.0,,,,2026-08-30 03:53,,,,0,0,0,1900,27.08%,2987,93.67%,86400,128,Araquanid,,0,99.17%,35,97.58%,496400,318,Araquanid,,0,32.65%,2759,89.88%,52400,48,Dewpider,,0,
46,Meltan,,808,,605,88,7,9,11,60.0,22.0,22.0,,,,2026-08-30 03:23,,,,0,0,0,3000,70.16%,1223,86.83%,464000,238,Meltan,,0,69.82%,1237,96.51%,24000,421,Melmetal,,0,,,,,,,,,
47,Meltan,,808,,670,92,2,14,9,55.6,25.0,25.0,,,,2026-08-30 03:23,,,,0,0,0,4000,63.81%,1483,85.74%,444000,220,Meltan,,0,98.10%,79,98.71%,8000,406,Melmetal,,0,,,,,,,,,
48,Meltan,,808,,147,42,0,11,3,31.1,6.0,6.0,,,,2026-08-30 03:10,,,,0,0,0,600,96.17%,158,98.00%,23800,430,Melmetal,,0,83.74%,667,97.20%,84400,484,Melmetal,,0,92.31%,316,95.58%,38900,44,Meltan,,0,
49,Meltan,,808,,294,62,2,11,12,55.6,11.0,11.0,,,,2026-08-30 03:10,,,,0,0,0,1300,95.04%,204,97.81%,13500,418,Melmetal,,0,98.71%,54,98.84%,72000,470,Melmetal,,0,93.46%,269,95.76%,25800,30,Meltan,,0,
50,Meltan,,808,,676,90,12,1,6,42.2,25.0,25.0,,,,2026-08-30 03:10,,,,0,0,0,4000,30.94%,2829,80.78%,444000,220,Meltan,,0,2.91%,3977,93.09%,4000,403,Melmetal,,0,,,,,,,,,
51,Meltan,,808,,747,98,9,12,15,80.0,26.0,26.0,,,,2026-08-30 02:41,,,,0,0,0,4000,94.33%,233,92.98%,436000,214,Meltan,,0,94.33%,233,92.98%,436000,214,Meltan,,0,,,,,,,,,
52,Sableye,Normal,302,♀,832,89,15,14,12,91.1,20.0,20.0,,,,2026-08-29 22:58,,,,0,0,0,2500,62.49%,1537,93.97%,267000,248,Sableye,Normal,0,99.41%,25,97.77%,475000,248,Sableye,Normal,0,,,,,,,,,
53,Sableye,Mega,302,♂,804,78,10,15,14,86.7,15.0,15.0,,,,2026-08-29 22:58,,,,0,0,0,1900,90.26%,400,96.23%,334400,268,Sableye,Normal,0,98.12%,78,96.03%,496400,268,Sableye,Normal,0,,,,,,,,,
54,Snorlax,,143,♂,2332,230,12,4,2,40.0,27.0,27.0,Zen Headbutt,Outrage,,2026-08-29 15:13,,,,0,0,0,4500,,,,,,,,,1.83%,4021,92.67%,13500,12,Snorlax,,0,,,,,,,,,
55,Corsola,Galar,222,♀,559,86,3,3,12,40.0,15.0,15.0,Astonish,Rock Blast,,2026-08-29 14:44,,,,0,0,0,1900,71.72%,1159,94.98%,496400,268,Corsola,Galar,0,81.22%,770,97.29%,118400,156,Cursola,,0,,,,,,,,,
56,Mewtwo,Armored,150,,1786,134,14,12,11,82.2,20.0,20.0,Confusion,Rock Slide,,2026-08-26 08:07,,,,0,0,0,2500,,,,,,,,,7.40%,3793,93.36%,51500,46,Mewtwo,Armored,0,,,,,,,,,
57,Mewtwo,Armored,150,,1809,135,15,15,12,93.3,20.0,20.0,Confusion,Earthquake,,2026-08-26 08:07,,,,0,0,0,2500,,,,,,,,,43.42%,2318,95.42%,51500,46,Mewtwo,Armored,0,,,,,,,,,
58,Mewtwo,Armored,150,,1779,133,13,14,10,82.2,20.0,20.0,Confusion,Dynamic Punch,,2026-08-26 08:07,,,,0,0,0,2500,,,,,,,,,52.26%,1956,95.84%,56000,50,Mewtwo,Armored,0,,,,,,,,,
59,Altaria,Mega,334,♂,2316,130,14,15,11,88.9,26.0,26.0,Dragon Breath,Dazzling Gleam,,2026-08-26 08:04,,,,0,0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,
60,Lilligant,Hisui,549,♀,1378,109,,,,71.1,20.0,20.0,Magical Leaf,Close Combat,,2026-08-24 01:39,,,,0,0,0,2500,29.10%,1964,94.93%,8000,7,Lilligant,Hisui,0,26.00%,2222,95.86%,278000,248,Lilligant,Hisui,0,,,,,,,,,
61,Articuno,Normal,144,,2404,156,10,13,13,80.0,28.5,28.5,Frost Breath,Ice Beam,,2026-08-22 22:42,,,,0,0,0,4500,,,,,,,,,60.71%,1610,96.48%,9500,8,Articuno,Normal,0,,,,,,,,,
62,Minun,,312,♂,1064,104,7,4,1,26.7,25.0,25.0,,,,2026-08-22 22:41,,,,0,0,0,4000,29.72%,2879,93.70%,204000,220,Minun,,0,11.87%,3610,81.85%,444000,220,Minun,,0,,,,,,,,,
63,Lugia,,249,,3222,182,15,14,11,88.9,31.5,31.5,Extrasensory,Sky Attack,,2026-08-22 22:41,,,,0,0,0,6000,,,,,,,,,,,,,,,,,,,,,,,,,
64,Eevee,,133,♂,509,91,6,15,15,80.0,18.0,18.0,,,,2026-08-22 22:41,,,,0,0,0,2200,98.75%,52,98.65%,2200,27,Leafeon,,0,99.49%,22,99.10%,74400,91,Glaceon,,0,,,,,,,,,
65,Chikorita,,152,♂,381,72,,,,53.6,16.0,16.0,Vine Whip,Body Slam,,2026-08-22 22:40,,,,0,0,0,1900,77.12%,170,97.49%,492600,289,Bayleef,,0,63.45%,427,97.11%,448600,389,Meganium,,0,51.32%,616,95.46%,22600,20,Chikorita,,0,
66,Chikorita,,152,,478,83,,,,50.4,20.5,20.5,Tackle,,,2026-08-22 22:40,,,,0,0,0,2500,72.36%,483,97.07%,18000,142,Meganium,,0,80.61%,272,97.55%,457500,371,Meganium,,0,42.56%,1633,93.24%,2500,2,Chikorita,,0,
67,Chikorita,,152,♂,531,87,,,,48.1,23.0,23.0,Vine Whip,Energy Ball,,2026-08-22 22:40,,,,0,0,0,3500,61.48%,706,96.66%,3500,128,Meganium,,0,86.07%,162,98.02%,458000,357,Meganium,,0,,,,,,,,,
68,Chikorita,,152,♂,757,103,,,,56.1,33.5,33.5,Tackle,,,2026-08-22 22:40,,,,0,0,0,7000,79.24%,129,97.76%,344000,167,Bayleef,,0,70.42%,413,97.14%,315000,267,Meganium,,0,,,,,,,,,
69,Chikorita,,152,♂,487,83,,,,63.1,20.0,20.0,Tackle,,,2026-08-22 22:40,,,,0,0,0,2500,73.75%,191,97.34%,431000,273,Bayleef,,0,66.78%,481,96.98%,403000,373,Meganium,,0,60.42%,312,96.42%,2500,2,Chikorita,,0,
70,Meganium,,154,♂,2098,154,,,,64.4,34.5,34.5,Razor Leaf,Frenzy Plant,,2026-08-22 22:40,,,,0,0,0,7000,,,,,,,,,80.18%,668,96.63%,273000,126,Meganium,,0,,,,,,,,,
71,Chikorita,,152,♂,727,99,,,,50.4,31.5,31.5,Tackle,,,2026-08-22 22:40,,,,0,0,0,6000,74.27%,450,96.38%,384000,193,Bayleef,,0,65.97%,666,96.64%,354000,293,Meganium,,0,,,,,,,,,
72,Chikorita,,152,♀,363,70,,,,68.4,14.5,14.5,Tackle,,,2026-08-22 22:40,,,,0,0,0,1600,61.84%,591,95.98%,399000,295,Bayleef,,0,49.07%,816,96.37%,386000,395,Meganium,,0,25.20%,1577,93.36%,23000,22,Chikorita,,0,
73,Chikorita,,152,,684,101,,,,70.0,28.0,28.0,Tackle,,,2026-08-22 22:40,,,,0,0,0,4500,90.83%,66,98.28%,361000,223,Bayleef,,0,82.28%,194,97.81%,333000,323,Meganium,,0,,,,,,,,,
74,Typhlosion,Normal,157,♂,1680,120,10,15,11,80.0,21.0,21.0,Ember,Blast Burn,,2026-08-22 22:40,,,,0,0,0,3000,,,,,,,,,88.96%,453,97.57%,98000,88,Typhlosion,Normal,0,,,,,,,,,
75,Totodile,,158,♂,403,71,8,8,6,48.9,14.0,14.0,,,,2026-08-22 22:40,,,,0,0,0,1600,47.89%,2135,95.03%,22100,147,Feraligatr,,0,33.89%,2708,95.52%,169600,289,Feraligatr,,0,27.42%,2973,90.93%,10800,12,Totodile,,0,
76,Golett,,622,,595,94,,,,64.0,19.0,19.0,,,,2026-08-22 22:39,,,,0,0,0,2500,32.75%,1118,96.10%,0,50,Golurk,,0,58.27%,428,97.79%,135000,176,Golurk,,0,,,,,,,,,
77,Gimmighoul,Roaming,999,,452,71,15,10,10,77.8,15.0,15.0,,,,2026-08-22 22:39,,,,0,0,0,1900,21.10%,3232,93.48%,0,0,Gholdengo,,0,5.74%,3861,93.54%,52400,48,Gholdengo,,0,37.41%,2564,91.76%,5700,6,Gimmighoul,Roaming,0,
78,Palkia,Origin,484,,2279,118,10,11,10,68.9,20.0,20.0,Dragon Tail,Fire Blast,,2026-08-22 22:39,,,,0,0,0,2500,,,,,,,,,27.57%,2967,94.92%,8000,7,Palkia,Origin,0,,,,,,,,,
79,Pumpkaboo,Small,710,♀,797,88,10,15,5,66.7,25.0,25.0,,,,2026-08-22 22:38,,,,0,0,0,4000,80.22%,811,89.06%,444000,220,Pumpkaboo,Small,0,72.28%,1136,92.82%,444000,420,Gourgeist,Small,0,,,,,,,,,
80,Nickit,,827,♂,175,55,2,2,6,22.2,11.0,11.0,,,,2026-08-22 22:38,,,,0,0,0,1300,70.84%,1195,95.76%,89000,136,Thievul,,0,5.84%,3857,81.89%,508000,334,Thievul,,0,73.70%,1078,93.52%,136000,128,Nickit,,0,
81,Wailmer,,320,♂,253,97,4,11,1,35.6,7.0,7.0,,,,2026-08-22 22:38,,,,0,0,0,800,57.80%,1729,93.18%,515200,292,Wailmer,,0,49.79%,2057,89.78%,515200,692,Wailord,,0,94.16%,240,96.68%,14000,18,Wailmer,,0,
82,Lickilicky,,463,♀,887,124,4,5,7,35.6,14.0,14.0,Lick,Body Slam,,2026-08-19 19:17,,,,0,0,0,1600,73.36%,1092,96.06%,45100,43,Lickilicky,,0,69.11%,1266,96.16%,484600,272,Lickilicky,,0,,,,,,,,,
83,Lickitung,,108,♀,787,130,14,13,11,84.4,20.0,20.0,,,,2026-08-19 19:14,,,,0,0,0,2500,87.28%,522,96.40%,376000,248,Lickitung,,0,51.23%,1998,95.32%,278000,348,Lickilicky,,0,,,,,,,,,
84,Lickitung,,108,♂,959,150,0,4,2,13.3,29.0,29.0,,,,2026-08-19 19:14,,,,0,0,0,5000,1.49%,4035,81.80%,410000,190,Lickitung,,0,2.86%,3979,92.53%,410000,290,Lickilicky,,0,,,,,,,,,
85,Lickilicky,,463,♂,2308,196,14,15,14,95.6,36.0,36.0,Lick,Body Slam,,2026-08-19 19:14,,,,0,0,0,5000,,,,,,,,,57.29%,1750,95.58%,103000,98,Lickilicky,,0,,,,,,,,,
86,Sandslash,Alola,28,♂,1357,116,11,15,14,88.9,20.0,20.0,,,,2026-08-19 19:04,,,,0,0,0,2500,84.91%,619,96.74%,11000,10,Sandslash,Alola,0,87.20%,525,97.35%,313000,248,Sandslash,Alola,0,,,,,,,,,
87,Sandslash,Alola,28,♀,1386,117,15,14,15,97.8,20.0,20.0,,,,2026-08-19 19:04,,,,0,0,0,2500,58.63%,1695,95.30%,8000,7,Sandslash,Alola,0,48.25%,2120,95.30%,267000,248,Sandslash,Alola,0,,,,,,,,,
88,Sandshrew,Alola,27,♀,259,52,5,15,3,51.1,8.0,8.0,,,,2026-08-19 19:04,,,,0,1,0,961,93.82%,254,97.58%,70934,142,Sandslash,Alola,1,82.22%,729,96.98%,580338,428,Sandslash,Alola,1,76.58%,960,95.03%,20650,36,Sandshrew,Alola,1,
89,Sandshrew,Alola,27,♀,439,68,15,15,12,93.3,12.0,12.0,Metal Claw,Night Slash,,2026-08-19 19:04,,,,0,0,0,1300,34.58%,2680,94.18%,38400,89,Sandslash,Alola,0,44.20%,2286,95.12%,308400,330,Sandslash,Alola,0,54.65%,1858,93.39%,4200,6,Sandshrew,Alola,0,
90,Sandshrew,Alola,27,♀,485,71,11,0,1,26.7,15.0,15.0,,,,2026-08-19 19:04,,,,0,0,0,1900,4.66%,3905,92.02%,41900,89,Sandslash,Alola,0,13.87%,3528,93.52%,496400,318,Sandslash,Alola,0,1.12%,4050,87.82%,0,0,Sandshrew,Alola,0,
91,Sandshrew,Normal,27,♂,534,76,6,9,1,35.6,17.0,17.0,,,,2026-08-19 19:04,,,,0,0,0,2200,26.79%,2999,93.49%,37800,84,Sandslash,Normal,0,20.71%,3248,92.19%,488800,310,Sandslash,Normal,0,,,,,,,,,
92,Sandshrew,Alola,27,♀,562,79,15,4,12,68.9,16.0,16.0,,,,2026-08-19 19:04,,,,0,0,0,1900,5.20%,3883,92.09%,28600,76,Sandslash,Alola,0,14.75%,3492,93.60%,342600,314,Sandslash,Alola,0,,,,,,,,,
93,Sandshrew,Alola,27,♂,708,89,13,10,12,77.8,20.0,20.0,,,,2026-08-19 19:04,,,,0,0,0,2500,28.64%,2923,93.87%,11000,60,Sandslash,Alola,0,50.94%,2010,95.41%,325000,298,Sandslash,Alola,0,,,,,,,,,
94,Sandshrew,Alola,27,♀,708,89,11,13,13,82.2,20.0,20.0,,,,2026-08-19 19:04,,,,0,0,0,2500,52.89%,1930,95.03%,11000,60,Sandslash,Alola,0,72.58%,1124,96.41%,325000,298,Sandslash,Alola,0,,,,,,,,,
95,Sandshrew,Alola,27,♀,723,90,13,14,14,91.1,20.0,20.0,,,,2026-08-19 19:04,,,,0,0,0,2500,22.52%,3174,93.53%,8000,57,Sandslash,Alola,0,66.45%,1375,96.10%,289000,298,Sandslash,Alola,0,,,,,,,,,
96,Sandshrew,Alola,27,♀,726,90,14,12,15,91.1,20.0,20.0,,,,2026-08-19 19:04,,,,0,0,0,2500,28.96%,2910,93.90%,8000,57,Sandslash,Alola,0,57.26%,1751,95.68%,289000,298,Sandslash,Alola,0,,,,,,,,,
97,Sandslash,Alola,28,♂,1383,117,15,13,15,95.6,20.0,20.0,,,,2026-08-19 19:04,,,,0,0,0,2500,48.45%,2112,94.85%,8000,7,Sandslash,Alola,0,65.32%,1421,96.05%,278000,248,Sandslash,Alola,0,,,,,,,,,
98,Sandshrew,Alola,27,♀,728,90,13,15,15,95.6,20.0,20.0,,,,2026-08-19 19:04,,,,0,0,0,2500,46.79%,2180,94.76%,8000,57,Sandslash,Alola,0,75.58%,1001,96.56%,289000,298,Sandslash,Alola,0,,,,,,,,,
99,Deino,,633,♀,220,58,14,0,15,64.4,8.0,8.0,,,,2026-08-19 18:54,,,,0,0,0,800,43.00%,2335,94.53%,17200,147,Hydreigon,,0,20.24%,3267,94.50%,69600,195,Hydreigon,,0,44.91%,2257,92.11%,3600,29,Zweilous,,0,
