Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Fast Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use,Notes
11,Froakie,,656,♂,178,46,0,3,3,13.3,8.0,8.0,,,,2026-09-01 09:53,2026-08-19 18:52,,,,0,1,0,961,74.31%,1053,96.42%,63133,209,Greninja,Normal,1,62.98%,1517,96.63%,481938,503,Greninja,Normal,1,69.21%,1262,93.79%,59532,80,Froakie,,1,,exported by a newer app
12,Thundurus,Normal,642,♂,1858,117,12,15,8,77.8,20.0,20.0,Astonish,,,2026-09-01 09:53,2026-08-29 14:15,,,,0,1,0,3000,,,,,,,,,80.46%,801,96.78%,30800,30,Thundurus,Normal,2,,,,,,,,,,exported by a newer app
13,Deino,,633,♀,210,52,8,10,0,40.0,8.0,8.0,,,,2026-09-01 09:53,2026-08-19 18:55,,,,0,1,0,961,60.95%,1600,95.38%,22930,164,Hydreigon,,1,66.15%,1387,96.31%,6600,118,Hydreigon,,2,84.91%,619,95.26%,5522,35,Zweilous,,1,,exported by a newer app
14,Shelmet,,616,♂,152,55,0,11,12,51.1,8.0,8.0,,,,2026-09-01 09:53,2026-09-01 09:53,,,,0,1,0,961,99.56%,19,99.12%,70934,292,Accelgor,,1,98.07%,80,98.81%,325200,393,Accelgor,,2,93.09%,284,96.45%,88334,108,Shelmet,,1,,exported by a newer app
15,Axew,,610,♂,263,48,1,11,0,26.7,8.0,8.0,,,,2026-09-01 09:53,2026-09-01 09:53,,,,0,1,0,961,88.91%,455,96.92%,97934,142,Fraxure,,1,59.63%,1654,96.23%,10200,121,Haxorus,,2,95.97%,166,96.89%,20650,36,Axew,,1,,exported by a newer app
16,Axew,,610,♀,269,49,7,7,1,33.3,8.0,8.0,,,,2026-09-01 09:53,2026-09-01 09:53,,,,0,1,0,961,61.83%,1564,95.33%,6600,28,Fraxure,,2,59.54%,1658,96.23%,97934,242,Haxorus,,1,45.81%,2220,92.41%,18729,33,Axew,,1,,exported by a newer app
17,Axew,,610,♀,279,52,4,11,11,57.8,8.0,8.0,,,,2026-09-01 09:53,2026-08-06 02:53,,,,0,1,0,961,75.41%,1008,96.01%,83534,129,Fraxure,,1,70.62%,1204,96.66%,88334,233,Haxorus,,1,98.53%,61,97.50%,961,27,Fraxure,,1,,exported by a newer app
18,Axew,,610,♂,289,52,13,7,10,66.7,8.0,8.0,,,,2026-09-01 09:53,2026-09-01 09:53,,,,0,1,0,961,93.53%,266,96.10%,402600,213,Axew,,2,11.11%,3641,94.12%,83534,229,Haxorus,,1,38.51%,2519,91.95%,14887,27,Axew,,1,,exported by a newer app
19,Axew,,610,♂,295,53,9,15,13,82.2,8.0,8.0,,,,2026-09-01 09:53,2026-09-01 09:53,,,,0,1,0,961,99.93%,4,99.42%,375600,213,Axew,,2,99.90%,5,99.55%,402600,235,Fraxure,,2,72.28%,1136,93.46%,0,25,Fraxure,,1,,exported by a newer app
20,Giratina,Altered,487,,1813,173,6,14,6,57.8,20.0,20.0,,,,2026-09-01 09:52,2026-09-01 09:52,,,,0,1,0,3000,,,,,,,,,89.30%,439,97.52%,61804,61,Giratina,Altered,1,,,,,,,,,,exported by a newer app
