Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
25,Vaporeon,,134,♂,597,99,15,13,8,80.0,7.0,7.0,,,,2026-08-23 21:41,2026-08-23 21:41,,,,0,0,0,800,37.80%,2548,94.28%,26400,32,Vaporeon,,0,40.85%,2423,95.27%,100700,98,Vaporeon,,0,,,,,,,,,
26,Eevee,,133,♂,511,88,4,5,2,24.4,20.0,20.0,,,,2026-08-23 21:41,2026-08-23 21:41,,,,0,0,0,2500,35.02%,2662,93.86%,0,25,Jolteon,,0,57.61%,1737,95.81%,178000,207,Jolteon,,0,,,,,,,,,
27,Chikorita,,152,♂,381,72,,,,53.6,16.0,16.0,Vine Whip,Body Slam,,2026-08-23 21:40,2026-08-23 21:40,,,,0,0,0,1900,77.12%,170,97.49%,492600,289,Bayleef,,0,63.45%,427,97.11%,448600,389,Meganium,,0,51.32%,616,95.46%,22600,20,Chikorita,,0,
28,Chikorita,,152,,478,83,,,,50.4,20.5,20.5,Tackle,,,2026-08-23 21:40,2026-08-23 21:40,,,,0,0,0,2500,72.36%,483,97.07%,18000,142,Meganium,,0,80.61%,272,97.55%,457500,371,Meganium,,0,42.56%,1633,93.24%,2500,2,Chikorita,,0,
29,Chikorita,,152,♂,531,87,,,,48.1,23.0,23.0,Vine Whip,Energy Ball,,2026-08-23 21:40,2026-08-23 21:40,,,,0,0,0,3500,61.48%,706,96.66%,3500,128,Meganium,,0,86.07%,162,98.02%,458000,357,Meganium,,0,,,,,,,,,
30,Chikorita,,152,♂,757,103,,,,56.1,33.5,33.5,Tackle,,,2026-08-23 21:40,2026-08-23 21:40,,,,0,0,0,7000,79.24%,129,97.76%,344000,167,Bayleef,,0,70.42%,413,97.14%,315000,267,Meganium,,0,,,,,,,,,
31,Chikorita,,152,♂,487,83,,,,63.1,20.0,20.0,Tackle,,,2026-08-23 21:40,2026-08-23 21:40,,,,0,0,0,2500,73.75%,191,97.34%,431000,273,Bayleef,,0,66.78%,481,96.98%,403000,373,Meganium,,0,60.42%,312,96.42%,2500,2,Chikorita,,0,
32,Meganium,,154,♂,2098,154,,,,64.4,34.5,34.5,Razor Leaf,Frenzy Plant,,2026-08-23 21:40,2026-08-23 21:40,,,,0,0,0,7000,,,,,,,,,80.18%,668,96.63%,273000,126,Meganium,,0,,,,,,,,,
33,Chikorita,,152,♂,727,99,,,,50.4,31.5,31.5,Tackle,,,2026-08-23 21:40,2026-08-23 21:40,,,,0,0,0,6000,74.27%,450,96.38%,384000,193,Bayleef,,0,65.97%,666,96.64%,354000,293,Meganium,,0,,,,,,,,,
34,Chikorita,,152,♀,363,70,,,,68.4,14.5,14.5,Tackle,,,2026-08-23 21:40,2026-08-23 21:40,,,,0,0,0,1600,61.84%,591,95.98%,399000,295,Bayleef,,0,49.07%,816,96.37%,386000,395,Meganium,,0,25.20%,1577,93.36%,23000,22,Chikorita,,0,
35,Chikorita,,152,,684,101,,,,70.0,28.0,28.0,Tackle,,,2026-08-23 21:40,2026-08-23 21:40,,,,0,0,0,4500,90.83%,66,98.28%,361000,223,Bayleef,,0,82.28%,194,97.81%,333000,323,Meganium,,0,,,,,,,,,
36,Slaking,,289,♂,3132,203,6,8,15,64.4,26.0,26.0,Yawn,,,2026-08-23 21:39,2026-07-08 00:26,,,,0,0,0,4000,,,,,,,,,,,,,,,,,,,,,,,,,
37,Slakoth,,287,♂,222,61,9,6,0,33.3,9.0,9.0,,,,2026-08-23 21:39,2026-08-23 21:39,,,,0,0,0,1000,41.22%,2408,93.63%,7900,135,Slaking,,0,26.76%,3000,94.72%,42000,169,Slaking,,0,29.47%,2889,90.65%,37000,40,Slakoth,,0,
38,Palkia,Normal,484,,2233,120,13,12,12,82.2,20.0,20.0,Dragon Tail,Frustration,,2026-08-23 21:39,2026-07-06 18:18,,,,0,1,0,3000,,,,,,,,,20.44%,3259,94.31%,13202,14,Palkia,Normal,1,,,,,,,,,
39,Gimmighoul,Roaming,999,,452,71,15,10,10,77.8,15.0,15.0,,,,2026-08-23 21:39,2026-08-23 21:39,,,,0,0,0,1900,21.10%,3232,93.48%,0,0,Gholdengo,,0,5.74%,3861,93.54%,52400,48,Gholdengo,,0,37.41%,2564,91.76%,5700,6,Gimmighoul,Roaming,0,
40,Palkia,Origin,484,,2279,118,10,11,10,68.9,20.0,20.0,Dragon Tail,Fire Blast,,2026-08-23 21:39,2026-07-16 09:29,,,,0,0,0,2500,,,,,,,,,27.57%,2967,94.92%,8000,7,Palkia,Origin,0,,,,,,,,,
41,Pumpkaboo,Small,710,♀,797,88,10,15,5,66.7,25.0,25.0,,,,2026-08-23 21:38,2026-08-23 21:38,,,,0,0,0,4000,80.22%,811,89.06%,444000,220,Pumpkaboo,Small,0,72.28%,1136,92.82%,444000,420,Gourgeist,Small,0,,,,,,,,,
42,Swablu,,333,♂,550,90,14,15,11,88.9,24.0,24.0,,,,2026-08-23 21:38,2026-08-23 21:38,,,,0,0,0,3500,49.72%,2060,94.48%,19000,416,Altaria,Normal,0,98.95%,44,97.54%,451000,626,Altaria,Normal,0,,,,,,,,,
43,Giratina,Altered,487,,1896,178,13,12,14,86.7,20.0,20.0,Dragon Breath,Frustration,,2026-08-23 21:38,2026-08-07 00:18,,,,0,1,0,3000,,,,,,,,,21.78%,3204,94.28%,46804,46,Giratina,Altered,1,,,,,,,,,
44,Scyther,,123,♀,1258,103,1,5,11,37.8,18.0,18.0,,,,2026-08-23 20:50,2026-08-23 20:50,,,,0,0,0,2200,81.61%,754,96.55%,4400,54,Scizor,Normal,0,93.04%,286,97.67%,132400,172,Scizor,Normal,0,,,,,,,,,
45,Sandslash,Alola,28,♂,1357,116,11,15,14,88.9,20.0,20.0,,,,2026-08-20 18:04,2026-08-20 18:04,,,,0,0,0,2500,84.91%,619,96.74%,11000,10,Sandslash,Alola,0,87.20%,525,97.35%,313000,248,Sandslash,Alola,0,,,,,,,,,
46,Sandslash,Alola,28,♀,1386,117,15,14,15,97.8,20.0,20.0,,,,2026-08-20 18:04,2026-08-20 18:04,,,,0,0,0,2500,58.63%,1695,95.30%,8000,7,Sandslash,Alola,0,48.25%,2120,95.30%,267000,248,Sandslash,Alola,0,,,,,,,,,
47,Sandshrew,Alola,27,♀,251,51,9,1,0,22.2,8.0,8.0,,,,2026-08-20 18:04,2026-08-20 18:04,,,,0,1,0,961,36.00%,2622,94.26%,75134,146,Sandslash,Alola,1,17.78%,3368,93.83%,375600,258,Sandslash,Alola,2,48.79%,2098,91.27%,0,50,Sandslash,Alola,1,
48,Sandshrew,Alola,27,♀,259,52,5,15,3,51.1,8.0,8.0,,,,2026-08-20 18:04,2026-08-20 18:04,,,,0,1,0,961,93.82%,254,97.58%,70934,142,Sandslash,Alola,1,82.22%,729,96.98%,580338,428,Sandslash,Alola,1,76.58%,960,95.03%,20650,36,Sandshrew,Alola,1,
49,Sandshrew,Alola,27,♀,439,68,15,15,12,93.3,12.0,12.0,Metal Claw,Night Slash,,2026-08-20 18:04,2026-08-20 17:10,,,,0,0,0,1300,34.58%,2680,94.18%,38400,89,Sandslash,Alola,0,44.20%,2286,95.12%,308400,330,Sandslash,Alola,0,54.65%,1858,93.39%,4200,6,Sandshrew,Alola,0,
50,Sandshrew,Alola,27,♀,485,71,11,0,1,26.7,15.0,15.0,,,,2026-08-20 18:04,2026-08-20 18:04,,,,0,0,0,1900,4.66%,3905,92.02%,41900,89,Sandslash,Alola,0,13.87%,3528,93.52%,496400,318,Sandslash,Alola,0,1.12%,4050,87.82%,0,0,Sandshrew,Alola,0,
51,Sandshrew,Alola,27,♀,562,79,15,4,12,68.9,16.0,16.0,,,,2026-08-20 18:04,2026-08-20 18:04,,,,0,0,0,1900,5.20%,3883,92.09%,28600,76,Sandslash,Alola,0,14.75%,3492,93.60%,342600,314,Sandslash,Alola,0,,,,,,,,,
52,Sandshrew,Alola,27,♂,708,89,13,10,12,77.8,20.0,20.0,,,,2026-08-20 18:04,2026-08-20 18:04,,,,0,0,0,2500,28.64%,2923,93.87%,11000,60,Sandslash,Alola,0,50.94%,2010,95.41%,325000,298,Sandslash,Alola,0,,,,,,,,,
53,Sandshrew,Alola,27,♀,708,89,11,13,13,82.2,20.0,20.0,,,,2026-08-20 18:04,2026-08-20 17:12,,,,0,0,0,2500,52.89%,1930,95.03%,11000,60,Sandslash,Alola,0,72.58%,1124,96.41%,325000,298,Sandslash,Alola,0,,,,,,,,,
54,Sandshrew,Alola,27,♀,723,90,13,14,14,91.1,20.0,20.0,,,,2026-08-20 18:04,2026-08-20 17:11,,,,0,0,0,2500,22.52%,3174,93.53%,8000,57,Sandslash,Alola,0,66.45%,1375,96.10%,289000,298,Sandslash,Alola,0,,,,,,,,,
55,Sandshrew,Alola,27,♀,726,90,14,12,15,91.1,20.0,20.0,,,,2026-08-20 18:04,2026-08-20 17:12,,,,0,0,0,2500,28.96%,2910,93.90%,8000,57,Sandslash,Alola,0,57.26%,1751,95.68%,289000,298,Sandslash,Alola,0,,,,,,,,,
56,Sandslash,Alola,28,♂,1383,117,15,13,15,95.6,20.0,20.0,,,,2026-08-20 18:04,2026-08-20 18:04,,,,0,0,0,2500,48.45%,2112,94.85%,8000,7,Sandslash,Alola,0,65.32%,1421,96.05%,278000,248,Sandslash,Alola,0,,,,,,,,,
57,Sandshrew,Alola,27,♀,728,90,13,15,15,95.6,20.0,20.0,,,,2026-08-20 18:04,2026-08-20 17:12,,,,0,0,0,2500,46.79%,2180,94.76%,8000,57,Sandslash,Alola,0,75.58%,1001,96.56%,289000,298,Sandslash,Alola,0,,,,,,,,,
58,Litten,,725,♂,551,83,15,5,11,68.9,20.0,20.0,,,,2026-08-20 17:58,2026-08-20 17:58,,,,0,0,0,2500,13.06%,3561,92.89%,130000,147,Torracat,,0,20.44%,3259,94.71%,80000,195,Incineroar,,0,,,,,,,,,
59,Deino,,633,♀,210,52,8,10,0,40.0,8.0,8.0,,,,2026-08-20 17:55,2026-08-20 17:55,,,,0,1,0,961,60.95%,1600,95.38%,22930,164,Hydreigon,,1,66.15%,1387,96.31%,6600,118,Hydreigon,,2,84.91%,619,95.26%,5522,35,Zweilous,,1,
60,Deino,,633,♂,433,79,10,15,12,82.2,15.0,15.0,,,,2026-08-20 17:54,2026-08-20 17:11,,,,0,0,0,1900,72.19%,1140,96.10%,91400,107,Zweilous,,0,71.77%,1157,96.55%,48900,170,Hydreigon,,0,62.27%,1546,93.40%,7600,8,Deino,,0,
61,Froakie,,656,♂,178,46,0,3,3,13.3,8.0,8.0,,,,2026-08-20 17:52,2026-08-20 17:52,,,,0,1,0,961,74.31%,1053,96.42%,63133,209,Greninja,Normal,1,62.98%,1517,96.63%,481938,503,Greninja,Normal,1,69.21%,1262,93.79%,59532,80,Froakie,,1,
62,Froakie,,656,♂,541,80,11,13,13,82.2,20.0,20.0,,,,2026-08-20 17:51,2026-08-20 17:11,,,,0,0,0,2500,69.99%,1230,95.78%,161000,185,Frogadier,,0,62.49%,1537,96.61%,178000,307,Greninja,Normal,0,,,,,,,,,
63,Mankey,,56,♀,899,90,10,14,6,66.7,29.0,29.0,,,,2026-08-20 17:48,2026-08-20 17:48,,,,0,0,0,5000,84.18%,649,89.14%,410000,190,Mankey,,0,85.10%,611,96.01%,410000,240,Primeape,,0,,,,,,,,,
64,Mankey,,56,♂,960,96,13,12,12,82.2,30.0,30.0,Scratch,,,2026-08-20 17:48,2026-08-20 17:11,,,,0,0,0,5000,95.58%,182,93.18%,400000,182,Mankey,,0,94.29%,235,97.59%,370000,232,Primeape,,0,,,,,,,,,
65,Ralts,,280,♀,196,52,15,15,11,91.1,13.0,13.0,,,,2026-08-20 17:11,2026-08-20 17:11,,,,0,1,0,1921,67.20%,1344,95.60%,16804,149,Gardevoir,Normal,1,57.95%,1723,96.36%,105968,238,Gardevoir,Normal,1,66.69%,1365,91.17%,107600,116,Ralts,,2,
66,Ralts,,280,♀,299,66,15,12,13,88.9,20.0,20.0,,,,2026-08-20 17:11,2026-08-20 17:11,,,,0,1,0,3000,99.93%,4,99.05%,404600,237,Kirlia,,2,41.73%,2387,95.72%,72604,196,Gardevoir,Normal,1,57.95%,1723,90.30%,100400,107,Ralts,,2,
67,Sobble,,816,♂,440,78,10,10,14,75.6,15.0,15.0,,,,2026-08-20 17:11,2026-08-20 17:11,,,,0,0,0,1900,76.83%,950,96.34%,86400,103,Drizzile,,0,74.58%,1042,97.02%,106400,219,Inteleon,,0,86.59%,550,94.94%,7600,8,Sobble,,0,
68,Wooper,Paldea,194,♀,264,82,13,13,13,86.7,15.0,15.0,,,,2026-08-20 17:11,2026-08-20 17:11,,,,0,0,0,1900,54.53%,1863,94.93%,72900,116,Clodsire,,0,98.00%,83,96.61%,496400,318,Clodsire,,0,29.21%,2900,89.09%,77400,70,Wooper,Paldea,0,
69,Ralts,,280,♂,298,65,15,13,11,86.7,20.0,20.0,Confusion,Shadow Sneak,,2026-08-20 17:11,2026-08-02 21:10,,,,0,0,0,2500,97.95%,85,94.53%,475000,273,Kirlia,,0,34.58%,2680,95.44%,60500,179,Gardevoir,Normal,0,62.32%,1544,90.73%,169000,170,Ralts,,0,
70,Beldum,,374,,517,78,10,11,11,71.1,20.0,20.0,,,,2026-08-20 17:11,2026-08-20 17:11,,,,0,0,0,2500,56.24%,1793,95.31%,130000,147,Metang,,0,33.72%,2715,95.08%,20500,144,Metagross,Normal,0,,,,,,,,,
71,Stunfisk,Galar,618,♀,27,23,1,13,13,60.0,1.0,1.0,Metal Claw,Earthquake,,2026-08-20 15:29,2026-08-20 15:29,,,,0,0,0,200,89.35%,437,97.12%,88000,94,Stunfisk,Galar,0,57.48%,1742,89.37%,520000,304,Stunfisk,Galar,0,99.88%,6,99.46%,8000,16,Stunfisk,Galar,0,
72,Tyrunt,,696,♂,324,60,1,7,11,42.2,8.0,8.0,Dragon Tail,Frustration,,2026-08-20 12:45,2026-08-20 12:45,,,,0,1,0,961,93.28%,276,97.95%,195600,213,Tyrunt,,2,96.31%,152,98.51%,42600,86,Tyrantrum,,2,86.32%,561,95.78%,9844,18,Tyrunt,,1,
73,Corsola,Galar,222,♀,812,100,10,11,14,77.8,20.0,20.0,Astonish,Rock Blast,,2026-08-20 02:22,2026-08-20 02:22,,,,0,0,0,2500,68.62%,1286,94.77%,313000,248,Corsola,Galar,0,86.86%,539,97.63%,70000,112,Cursola,,0,,,,,,,,,
74,Corsola,Galar,222,♂,842,100,,,,88.9,20.0,20.0,Tackle,Power Gem,,2026-08-20 02:22,2026-08-20 02:22,,,,0,0,0,2500,43.82%,2010,93.77%,245000,248,Corsola,Galar,0,44.93%,1525,96.49%,65000,108,Cursola,,0,,,,,,,,,
75,Enamorus,Incarnate,905,♀,1925,112,14,15,10,86.7,20.0,20.0,Fairy Wind,Fly,,2026-08-19 16:56,2026-07-16 02:48,,,,0,0,0,2500,,,,,,,,,23.64%,3128,94.68%,35000,31,Enamorus,Incarnate,0,,,,,,,,,
76,Vaporeon,,134,♂,2784,219,14,10,13,82.2,34.0,34.0,Water Gun,Last Resort,,2026-08-19 16:52,2026-07-08 00:27,,,,0,0,0,7000,,,,,,,,,,,,,,,,,,,,,,,,,
77,Gyarados,Mega,130,♂,2683,136,15,15,13,95.6,20.0,20.0,Waterfall,Hydro Pump,,2026-08-19 16:40,2026-08-18 21:21,,,,0,0,0,15000,,,,,,,,,25.20%,3064,94.31%,35000,31,Gyarados,Normal,0,,,,,,,,,
78,Registeel,,379,,1396,122,15,14,15,97.8,20.0,20.0,Rock Smash,Flash Cannon,,2026-08-15 19:20,2026-07-16 08:43,,,,0,0,0,2500,55.24%,1834,94.97%,8000,7,Registeel,,0,40.56%,2435,94.39%,256000,248,Registeel,,0,,,,,,,,,
79,Stunky,,434,♀,414,79,15,14,6,77.8,13.0,13.0,,,,2026-08-15 00:36,2026-08-15 00:36,,,,0,1,0,1921,26.08%,3028,93.78%,50167,110,Skuntank,,1,77.83%,909,95.90%,484572,404,Skuntank,,1,35.58%,2639,91.95%,9964,15,Stunky,,1,
80,Stunfisk,Galar,618,♂,1380,162,11,15,13,86.7,23.0,23.0,,,,2026-08-15 00:36,2026-08-15 00:36,,,,0,0,0,3500,75.80%,992,96.15%,14000,12,Stunfisk,Galar,0,97.88%,88,96.57%,458000,232,Stunfisk,Galar,0,,,,,,,,,
81,Stunfisk,Galar,618,♀,680,114,4,15,8,60.0,12.0,12.0,,,,2026-08-15 00:36,2026-08-15 00:36,,,,0,0,0,1300,64.15%,1469,95.48%,69400,66,Stunfisk,Galar,0,67.35%,1338,90.47%,505400,280,Stunfisk,Galar,0,,,,,,,,,
82,Stunfisk,Galar,618,♀,1207,150,14,11,12,82.2,20.0,20.0,,,,2026-08-15 00:36,2026-08-15 00:36,,,,0,0,0,2500,17.05%,3398,92.86%,27500,25,Stunfisk,Galar,0,96.58%,141,95.87%,475000,248,Stunfisk,Galar,0,,,,,,,,,
83,Stunfisk,Normal,618,♀,544,103,0,12,5,37.8,10.0,10.0,Thunder Shock,Discharge,,2026-08-15 00:36,2026-08-15 00:36,,,,0,0,0,1000,98.02%,82,98.40%,86500,84,Stunfisk,Normal,0,21.12%,3231,85.36%,510000,286,Stunfisk,Normal,0,,,,,,,,,
84,Stunfisk,Galar,618,♂,27,23,6,2,11,42.2,1.0,1.0,,,,2026-08-15 00:36,2026-08-15 00:36,,,,0,0,0,200,34.90%,2667,93.92%,88000,94,Stunfisk,Galar,0,27.06%,2988,86.11%,520000,304,Stunfisk,Galar,0,89.55%,429,95.78%,8000,16,Stunfisk,Galar,0,
85,Stunfisk,Galar,618,♂,1188,149,11,13,11,77.8,20.0,20.0,,,,2026-08-15 00:36,2026-08-15 00:36,,,,0,0,0,2500,47.01%,2171,94.55%,31000,28,Stunfisk,Galar,0,93.02%,287,94.63%,475000,248,Stunfisk,Galar,0,,,,,,,,,
86,Stunfisk,Galar,618,♀,1378,161,12,13,12,82.2,23.0,23.0,,,,2026-08-15 00:36,2026-08-15 00:36,,,,0,0,0,3500,68.64%,1285,95.73%,14000,12,Stunfisk,Galar,0,96.12%,160,95.70%,458000,232,Stunfisk,Galar,0,,,,,,,,,
87,Tatsugiri,,978,♂,1554,109,14,14,14,93.3,20.0,20.0,Water Gun,Surf,,2026-08-13 20:16,2026-08-13 20:16,,,,0,0,0,2500,,,,,,,,,58.56%,1698,96.29%,123000,114,Tatsugiri,,0,,,,,,,,,
88,Morpeko,,877,♂,1078,97,11,15,12,84.4,20.0,20.0,Bite,Aura Wheel,,2026-08-11 01:08,2026-08-11 01:08,,,,0,0,0,2500,66.42%,1376,95.55%,51500,46,Morpeko,,0,97.90%,87,95.95%,475000,248,Morpeko,,0,,,,,,,,,
89,Swampert,Mega,260,♀,3783,176,14,14,15,95.6,30.5,30.5,Water Gun,Surf,,2026-08-09 21:44,2026-07-08 00:28,,,,0,0,0,15000,,,,,,,,,,,,,,,,,,,,,,,,,
90,Samurott,Hisui,503,♂,1563,132,13,10,15,84.4,20.0,20.0,Fury Cutter,Sacred Sword,,2026-08-09 21:43,2026-08-09 21:43,,,,0,0,0,2500,,,,,,,,,42.32%,2363,95.70%,116000,106,Samurott,Hisui,0,,,,,,,,,
91,Cubone,,104,♀,38,24,1,14,11,57.8,2.0,2.0,,,,2026-08-07 01:53,2026-08-07 01:53,,,,0,1,0,241,97.53%,102,98.32%,192746,278,Marowak,Normal,1,81.44%,761,91.80%,402600,258,Marowak,Normal,2,98.14%,77,98.24%,53538,90,Cubone,,1,
92,Shelmet,,616,♂,152,55,0,11,12,51.1,8.0,8.0,,,,2026-08-07 01:53,2026-08-07 01:53,,,,0,1,0,961,99.56%,19,99.12%,70934,292,Accelgor,,1,98.07%,80,98.81%,325200,393,Accelgor,,2,93.09%,284,96.45%,88334,108,Shelmet,,1,
